ScanNumber	ScanTime	ScanType
1	0.0	1
2	0.0041272	2
3	0.0043524	2
4	0.0045775	2
5	0.0047775	2
6	0.0049772	2
7	0.0051769	2
8	0.0053767	2
9	0.0055767	2
10	0.0057764	2
11	0.0060015	2
12	0.0062089	2
13	0.0064161	2
14	0.0066235	2
15	0.0068308	2
16	0.0070792	2
17	0.0072865	2
18	0.0074939	2
19	0.0077191	2
20	0.0079205	2
21	0.0081209	2
22	0.0083207	2
23	0.0085208	2
24	0.0087207	2
25	0.0089456	2
26	0.0091711	2
27	0.0093991	2
28	0.009624	2
29	0.00985	2
30	0.0100497	2
31	0.0102495	2
32	0.0104744	2
33	0.0107217	2
34	0.0109691	2
35	0.0111765	2
36	0.0114239	2
37	0.0116312	2
38	0.0118775	2
39	0.0120853	2
40	0.0123327	2
41	0.01258	2
42	0.0127873	2
43	0.0129875	2
44	0.0131879	2
45	0.0133876	2
46	0.0135872	2
47	0.0138131	2
48	0.0140377	2
49	0.0142384	2
50	0.0144639	2
51	0.0146637	2
52	0.014864	2
53	0.0150895	2
54	0.0152968	2
55	0.0154979	2
56	0.0157255	2
57	0.0159551	2
58	0.0161797	2
59	0.0164056	2
60	0.0166305	2
61	0.0168552	2
62	0.0170797	2
63	0.0173272	2
64	0.0175271	2
65	0.0177519	2
66	0.0179515	2
67	0.0181531	2
68	0.018468	1
69	0.0204223	2
70	0.0206696	2
71	0.0208945	2
72	0.0210948	2
73	0.0213197	2
74	0.0215444	2
75	0.0217693	2
76	0.0219941	2
77	0.0221939	2
78	0.0224187	2
79	0.0226436	2
80	0.0228684	2
81	0.0230681	2
82	0.0232928	2
83	0.0235343	2
84	0.0237592	2
85	0.0239845	2
86	0.024192	2
87	0.0243917	2
88	0.0245915	2
89	0.0247916	2
90	0.0249913	2
91	0.0251913	2
92	0.0254173	2
93	0.0256176	2
94	0.0258175	2
95	0.0260173	2
96	0.0262173	2
97	0.0264423	2
98	0.0266421	2
99	0.026842	2
100	0.0270669	2
101	0.0272668	2
102	0.0274671	2
103	0.0276672	2
104	0.0278671	2
105	0.028068	2
106	0.0282931	2
107	0.0285176	2
108	0.0287427	2
109	0.0290516	1
110	0.0310067	2
111	0.0312315	2
112	0.0314311	2
113	0.0316308	2
114	0.031856	2
115	0.0320811	2
116	0.0323059	2
117	0.0325057	2
118	0.0327376	2
119	0.0329449	2
120	0.0331699	2
121	0.0333696	2
122	0.0335943	2
123	0.0338193	2
124	0.0340227	2
125	0.0342228	2
126	0.0344301	2
127	0.03463	2
128	0.0348297	2
129	0.0350549	2
130	0.0352796	2
131	0.0354803	2
132	0.0357055	2
133	0.0359056	2
134	0.0361129	2
135	0.0363415	2
136	0.0365415	2
137	0.0367413	2
138	0.036966	2
139	0.0371908	2
140	0.0374155	2
141	0.0376407	2
142	0.0378653	2
143	0.0380909	2
144	0.0383159	2
145	0.0385419	2
146	0.0387417	2
147	0.0389688	2
148	0.0391685	2
149	0.0393684	2
150	0.0396812	1
151	0.0416353	2
152	0.04186	2
153	0.0420849	2
154	0.0422848	2
155	0.0425095	2
156	0.0427343	2
157	0.0429624	2
158	0.0432099	2
159	0.0434116	2
160	0.0436364	2
161	0.0438609	2
162	0.044086	2
163	0.044286	2
164	0.0445107	2
165	0.0447521	2
166	0.0449768	2
167	0.0452016	2
168	0.0454089	2
169	0.0456087	2
170	0.0458084	2
171	0.0460087	2
172	0.0462083	2
173	0.0464084	2
174	0.0466336	2
175	0.0468336	2
176	0.0470333	2
