ScanNumber	ScanTypeName	ScanType
1	HMS	1
2	CID-MSn	2
3	CID-MSn	2
4	CID-MSn	2
5	CID-MSn	2
6	CID-MSn	2
7	CID-MSn	2
8	CID-MSn	2
9	CID-MSn	2
10	CID-MSn	2
11	CID-MSn	2
12	HMS	1
13	CID-MSn	2
14	CID-MSn	2
15	CID-MSn	2
16	CID-MSn	2
17	CID-MSn	2
18	CID-MSn	2
19	CID-MSn	2
20	CID-MSn	2
21	CID-MSn	2
22	CID-MSn	2
23	HMS	1
24	CID-MSn	2
25	CID-MSn	2
26	CID-MSn	2
27	CID-MSn	2
28	CID-MSn	2
29	CID-MSn	2
30	CID-MSn	2
31	CID-MSn	2
32	CID-MSn	2
33	CID-MSn	2
34	HMS	1
35	CID-MSn	2
36	CID-MSn	2
37	CID-MSn	2
38	CID-MSn	2
39	CID-MSn	2
40	CID-MSn	2
41	CID-MSn	2
42	CID-MSn	2
43	CID-MSn	2
44	CID-MSn	2
45	HMS	1
46	CID-MSn	2
47	CID-MSn	2
48	CID-MSn	2
49	CID-MSn	2
50	CID-MSn	2
51	CID-MSn	2
52	CID-MSn	2
53	CID-MSn	2
54	CID-MSn	2
55	CID-MSn	2
56	HMS	1
57	CID-MSn	2
58	CID-MSn	2
59	CID-MSn	2
60	CID-MSn	2
61	CID-MSn	2
62	CID-MSn	2
63	CID-MSn	2
64	CID-MSn	2
65	CID-MSn	2
66	CID-MSn	2
67	HMS	1
68	CID-MSn	2
69	CID-MSn	2
70	CID-MSn	2
71	CID-MSn	2
72	CID-MSn	2
73	CID-MSn	2
74	CID-MSn	2
75	CID-MSn	2
76	CID-MSn	2
77	CID-MSn	2
78	HMS	1
79	CID-MSn	2
80	CID-MSn	2
81	CID-MSn	2
82	CID-MSn	2
83	CID-MSn	2
84	CID-MSn	2
85	CID-MSn	2
86	CID-MSn	2
87	CID-MSn	2
88	CID-MSn	2
89	HMS	1
90	CID-MSn	2
91	CID-MSn	2
92	CID-MSn	2
93	CID-MSn	2
94	CID-MSn	2
95	CID-MSn	2
96	CID-MSn	2
97	CID-MSn	2
98	CID-MSn	2
99	CID-MSn	2
100	HMS	1
101	CID-MSn	2
102	CID-MSn	2
103	CID-MSn	2
104	CID-MSn	2
105	CID-MSn	2
106	CID-MSn	2
107	CID-MSn	2
108	CID-MSn	2
109	CID-MSn	2
110	CID-MSn	2
111	HMS	1
112	CID-MSn	2
113	CID-MSn	2
114	CID-MSn	2
