Unique_Seq_ID	Mod_Count	Mod_Description	Monoisotopic_Mass
1	0		3308.5201995
2	0		3727.7204546
3	0		4334.1241683
4	0		3235.6835417
5	0		3574.7108824
6	0		3085.4488019
7	0		3162.5791399
8	0		3028.6555440
9	0		2981.5034112
10	0		3403.7767805
11	0		3318.7215215
12	0		2889.5095567
13	0		3340.7375514
14	0		3347.6204781
15	0		3409.6379699
16	0		3101.5238809
17	0		3058.5432226
18	0		2496.1412255
19	0		3127.5837769
20	0		3287.5708288
21	0		3415.4984621
22	1	Plus1Oxy:2	2986.5697128
23	0		2858.3611099
24	0		3162.6058199
25	0		4333.3465707
26	0		2722.3859464
27	0		3266.7153761
28	0		2780.1735198
29	0		3569.7577619
30	0		3124.4937751
31	0		3576.7847001
32	0		3125.7711772
33	0		2893.4179706
34	0		3780.8013341
35	0		2777.4710530
36	0		2677.3822431
37	0		3138.6204206
38	1	Plus1Oxy:12	3465.5986194
39	0		3314.7086374
40	0		2621.3521947
41	0		2457.2709703
42	0		3352.7373606
43	0		3935.9296498
44	0		3333.6416797
45	0		3025.5363626
46	0		3943.9987730
47	0		3258.6366512
48	0		3675.8028025
49	0		2632.2841775
50	0		2875.4350600
51	0		3180.5912301
52	0		3385.7549857
53	0		3276.6334836
54	0		3278.5366098
55	0		2977.4238395
56	0		3339.6773962
57	0		2765.3805265
58	0		3441.6628064
59	0		2775.4165196
60	0		2638.2994463
61	0		2478.1459200
62	0		3334.7348501
63	0		3368.6060206
64	0		2911.5376877
65	0		2801.3870525
66	0		3149.6581878
67	0		2984.4435727
68	0		2970.5747978
69	0		2920.3778826
70	0		2944.3965098
71	0		3158.6147415
72	0		2364.0882069
73	0		3176.6432530
74	0		2951.5238699
75	0		2582.4392196
76	0		2368.2021701
77	0		3228.8080107
78	0		2311.0861563
79	0		2915.4775900
80	0		3249.6742286
81	0		2716.2907254
82	0		3306.6341516
83	0		2730.5166074
84	0		3735.8387207
85	0		2635.3539223
86	0		3304.7382085
87	0		2510.2361700
88	0		3256.5940062
89	0		2850.4180280
90	0		2741.3731307
91	0		3118.5398533
92	0		2895.3536457
93	0		3336.7047259
94	0		3099.5374111
95	0		3082.5299579
96	0		2431.1290669
97	0		2860.5822684
98	0		2617.2845115
99	0		2306.1752893
100	0		2303.1652617
101	0		2642.4125396
102	0		2633.2695302
103	1	Plus1Oxy:1	3135.6169199
104	0		3113.4551381
105	0		2725.4186277
106	0		2793.3720712
107	0		3588.8799321
108	0		2747.4427323
109	0		3114.6136820
110	0		2873.4750795
111	0		3249.6223954
112	0		2606.2408754
113	0		3215.6105828
114	0		2910.4146587
115	0		2840.4053456
116	0		3057.4951686
117	0		2412.2297189
118	0		2817.5526580
119	0		4484.1890864
120	0		2508.3698947
121	0		2672.3947713
