Unique_Seq_ID	Cleavage_State	Terminus_State	Protein_Name	Protein_Expectation_Value_Log(e)	Protein_Intensity_Log(I)
1	2	0	Q8WW12		
2	2	0	Q99623		
3	1	0	P62633		
4	2	0	Q8NC51		
5	2	0	P80723		
6	2	0	Q13428		
7	2	0	P55884		
8	2	0	P18583		
9	2	0	P49006		
10	2	0	Q99733		
11	1	0	Q8WW12		
12	2	0	P80723		
13	2	0	P34932		
14	2	0	Q03252		
15	2	0	Q9Y2W1		
16	2	0	O00571		
17	2	0	P14314		
18	2	0	P61981		
19	2	0	P11498		
20	2	0	P02765		
21	2	0	P49321		
22	2	0	P13667		
23	1	0	Q15061		
24	2	0	P13489		
25	2	0	Q9H307		
26	2	0	P80723		
27	2	0	O00592		
28	2	0	P55060		
29	2	0	P25815		
30	2	0	P49748		
31	2	0	Q7Z434		
32	2	0	Q9NRX4		
33	1	0	O43670		
34	2	0	Q16891		
35	2	0	P23193		
36	2	0	P63104		
37	2	0	Q13283		
38	2	0	P48444		
39	2	0	Q99729		
40	2	0	Q96KR1		
41	2	0	P08238		
42	2	0	Q6FI81		
43	2	0	Q14203		
44	2	0	P84090		
45	2	0	Q14697		
46	2	0	P80723		
47	2	0	P46779		
48	2	0	P07814		
49	2	0	P46013		
50	2	0	Q5SSJ5		
51	2	0	P14314		
52	2	0	Q9Y490		
53	2	0	P31930		
54	2	0	P21333		
55	2	0	Q99615		
56	2	0	Q16891		
57	2	0	P21266		
58	2	0	P61088		
59	2	0	P33993		
60	2	0	Q13428		
61	2	0	Q14980		
62	2	0	Q92616		
63	2	0	P07237		
64	2	0	Q9Y265		
65	2	0	P27348		
66	2	0	P19338		
67	2	0	P15121		
68	2	0	O60664		
69	2	0	O00567		
70	2	0	P50213		
71	2	0	Q13057		
72	2	0	P63104		
73	2	0	O75223		
74	2	0	Q96AE4		
75	2	0	P80723		
76	2	0	P39748		
77	2	0	O94826		
78	2	0	Q13619		
79	2	0	Q15084		
80	2	0	P60228		
81	2	0	P39023		
82	2	0	P49411		
83	1	0	O15427		
84	2	0	P60891		
85	2	0	P51659		
86	2	0	Contaminant_ALBU_BOVIN		
87	2	0	Q86UE4		
88	2	0	O95831		
89	2	0	Q12805		
90	2	0	P02771		
91	2	0	P05556		
92	2	0	P13929		
93	2	0	P11279		
94	2	0	Q9Y314		
95	2	0	P49005		
96	2	0	Q9ULV4		
97	2	0	P27816		
98	2	0	P31040		
99	2	0	Q14839		
100	2	0	Q9BUH6		
101	2	0	P04843		
102	2	0	P54577		
103	2	0	P13639		
104	2	0	P37802		
105	2	0	Q969M3		
106	2	0	P52209		
107	2	0	Q15149		
108	2	0	Q7Z6Z7		
109	2	0	P13667		
110	2	0	Q13895		
111	2	0	P40121		
112	2	0	Q13242		
113	2	0	P49327		
114	2	0	P52948		
115	2	0	P53985		
116	2	0	P43243		
117	2	0	Q14566		
118	2	0	P42704		
119	2	0	P18206		
120	2	0	P02538		
121	2	0	A5A3E0		
122	2	0	P25398		
123	2	0	P05455		
124	2	0	Q9BXP5		
125	2	0	Q06830		
126	2	0	O75369		
127	2	0	O14929		
128	2	0	Q9BXP5		
129	1	0	P30085		
130	2	0	P78371		
131	2	0	Q03252		
132	2	0	O75369		
133	2	0	P05455		
134	2	0	Contaminant_ALBU_BOVIN		
135	2	0	P55809		
136	2	0	Q9UKD2		
137	2	0	P62316		
138	2	0	P54577		
139	2	0	P22314		
140	2	0	P63104		
141	2	0	O75251		
142	2	0	P18858		
143	2	0	P23193		
144	2	0	Q9UJU6		
145	2	0	Q8IZQ5		
146	2	0	P25788		
147	2	0	P30049		
148	2	0	P09661		
149	2	0	Q92841		
