Unique_Seq_ID	Cleavage_State	Terminus_State	Protein_Name	Protein_Expectation_Value_Log(e)	Protein_Intensity_Log(I)
1	2	0	SO_2411		
2	2	0	SO_1779		
3	2	0	SO_2427		
4	2	0	SO_0770		
5	2	0	SO_3110		
6	2	0	SO_0840		
7	2	0	SO_0511		
8	2	0	SO_A0114		
9	2	0	SO_0432		
10	2	0	SO_2583		
11	2	0	SO_1892		
12	2	0	SO_4317		
13	2	0	SO_2907		
14	2	0	SO_4702		
15	2	0	SO_3238		
16	2	0	SO_0930		
17	2	0	SO_0424		
18	2	0	SO_3340		
19	2	0	SO_0933		
20	2	0	Contaminant_TRYP_BOVIN		
21	2	0	SO_0425		
22	2	0	SO_A0110		
23	2	0	SO_3740		
24	2	0	SO_4190		
25	2	0	SO_4017		
26	2	0	SO_1825		
27	2	0	SO_1677		
28	2	0	SO_3942		
29	2	0	SO_1800		
30	2	0	SO_2596		
31	2	0	SO_3774		
32	2	0	SO_2636		
33	2	0	SO_4080		
34	2	0	SO_0429		
35	2	0	SO_0021		
36	2	0	SO_1377		
37	2	0	SO_4072		
38	2	0	SO_3101		
39	2	0	SO_3072		
40	1	0	SO_4343		
41	2	0	SO_1325		
42	2	0	SO_0932		
43	2	0	SO_3144		
44	2	1	SO_1479		
45	2	0	SO_1931		
46	2	0	SO_0432		
47	2	0	SO_2411		
48	2	0	SO_3310		
49	2	0	SO_1341		
50	2	0	SO_2347		
51	2	0	SO_1791		
52	2	0	SO_2593		
53	2	0	SO_2427		
54	2	0	SO_0704		
55	2	0	SO_2123		
56	2	0	SO_3577		
57	2	0	SO_1824		
58	2	0	SO_4349		
59	2	0	SO_2222		
60	2	0	SO_2907		
61	2	0	SO_0704		
62	2	0	SO_0840		
63	2	0	SO_0166		
64	2	0	SO_0246		
65	2	0	SO_4123		
66	2	0	SO_1854		
67	2	0	SO_2350		
68	2	0	SO_A0112		
69	2	0	SO_1115		
70	2	0	SO_2907		
71	2	0	SO_1879		
72	2	0	SO_0779		
73	2	0	SO_4202		
74	2	0	SO_4396		
75	2	0	SO_2427		
76	2	0	SO_4105		
77	2	0	SO_1844		
78	2	0	SO_0229		
79	2	0	SO_A0112		
80	2	0	SO_3144		
81	2	0	SO_1139		
82	2	0	SO_2638		
83	2	0	SO_1849		
84	2	0	SO_3942		
85	2	0	SO_0278		
86	2	0	SO_2116		
87	2	0	SO_0229		
88	2	0	SO_3740		
89	2	0	SO_0008		
90	2	0	SO_4365		
91	2	0	SO_4054		
92	2	0	SO_2881		
93	2	0	SO_4726		
94	2	0	SO_3529		
95	2	0	SO_0704		
96	2	0	SO_3942		
97	2	0	SO_2907		
98	2	0	SO_0508		
99	2	0	SO_0862		
100	2	0	SO_2427		
101	2	0	SO_0618		
102	2	0	SO_0224		
103	2	0	SO_2907		
104	2	0	SO_2907		
105	2	0	SO_2427		
106	2	0	SO_0970		
107	2	0	SO_2303		
108	2	0	SO_3545		
109	2	0	SO_1158		
110	2	0	SO_1377		
111	2	0	SO_1103		
112	2	0	SO_1678		
113	2	0	SO_2593		
114	2	0	SO_A0106		
115	2	0	SO_3178		
116	2	0	SO_2576		
117	2	0	SO_3184		
118	2	0	SO_4538		
119	2	0	SO_1121		
120	2	0	SO_0970		
121	2	0	SO_0932		
122	2	0	SO_3238		
123	2	1	SO_2402		
124	2	0	SO_1949		
125	2	0	SO_3738		
126	2	0	SO_3545		
127	2	0	SO_0222		
128	2	0	SO_2907		
129	2	0	SO_1204		
130	2	0	SO_3247		
131	2	0	SO_1778		
132	2	0	SO_1828		
133	2	0	SO_0248		
134	2	0	SO_3740		
135	2	0	SO_1490		
136	2	0	SO_A0112		
137	2	0	SO_2583		
138	2	0	SO_0224		
139	2	0	SO_2776		
140	2	0	SO_1322		
141	2	0	SO_2477		
142	2	0	SO_1203		
143	2	0	SO_2903		
144	2	0	SO_1931		
145	2	0	SO_3532		
146	2	0	SO_3545		
147	2	0	SO_3545		
148	2	0	SO_3238		
149	2	1	SO_2402		
150	2	0	SO_3726		
151	2	0	SO_0248		
152	2	0	SO_1892		
153	2	0	SO_2907		
154	2	0	SO_1284		
155	2	0	SO_1174		
156	2	0	SO_1095		
157	2	0	SO_0987		
158	2	0	SO_2240		
159	2	0	SO_2427		
160	2	0	SO_3842		
161	2	0	SO_2601		
162	2	0	SO_1669		
163	2	0	SO_0818		
164	2	0	SO_0275		
165	2	0	SO_1360		
166	2	0	SO_2566		
167	2	0	SO_2427		
168	2	0	SO_1726		
169	2	0	SO_2361		
170	2	0	SO_0021		
171	2	0	SO_2274		
172	2	0	SO_1142		
173	2	0	SO_3896		
174	2	0	SO_4105		
175	2	0	SO_0781		
176	2	0	SO_3238		
177	2	0	SO_0862		
178	1	0	SO_0278		
179	1	0	SO_4343		
180	2	0	SO_0933		
181	2	0	SO_3904		
182	2	0	SO_2907		
183	2	0	SO_4055		
184	2	0	SO_0831		
185	2	0	SO_0426		
186	2	0	SO_0605		
187	2	0	SO_1150		
188	2	0	SO_0237		
189	2	0	SO_4365		
190	2	0	SO_3354		
191	2	0	SO_1327		
192	2	0	SO_0770		
193	2	0	SO_0424		
194	2	0	SO_0227		
195	2	0	SO_1095		
196	2	0	SO_0770		
197	2	0	SO_0842		
198	2	0	SO_0166		
199	2	0	SO_3441		
200	2	1	SO_2402		
201	2	0	SO_3664		
202	2	0	SO_3154		
203	2	0	SO_A0096		
204	2	0	SO_3577		
205	2	0	SO_0900		
206	2	0	SO_3653		
207	2	0	SO_2223		
208	2	0	SO_A0110		
209	2	0	SO_0770		
210	2	0	SO_4211		
211	2	0	SO_0704		
212	2	0	SO_0344		
213	2	0	SO_3247		
214	2	0	SO_2433		
215	2	0	SO_0222		
216	2	0	SO_2776		
217	2	0	SO_0704		
218	2	0	SO_2009		
219	2	0	SO_2636		
220	2	0	SO_2444		
221	2	0	SO_1030		
222	2	0	SO_3189		
223	2	0	SO_0242		
224	2	0	SO_4699		
225	2	0	SO_3154		
226	2	1	SO_0021		
227	2	0	SO_4749		
228	2	0	SO_3715		
229	2	0	SO_3545		
230	2	0	SO_3052		
231	2	0	SO_3238		
232	2	0	SO_2274		
233	1	0	SO_0224		
234	2	0	SO_0248		
235	2	0	SO_1150		
236	2	0	SO_1519		
237	2	0	SO_0190		
